ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
1,aportaciones cambios,baja,0.0657,0.0617,solano-toma-decisiones-gerenciales.pdf,pdf,p. 7,7,0.0657,tfidf=0.0557; bonus=0.0100,"En las pequeñas y en algunas medianas empresas, generalmente existe un gerente-propietario que se encarga de resolver todos los asuntos referentes a la compañía, por lo que no existen problemas de contradicción. Muchos cambios importantes no son  impuestos por la Gerencia; son los  mismos empleados quienes los 50 Vol. 16 Nº 3",solano_toma_decisiones_gerenciales_cfff4af2eb_b0007_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/solano-toma-decisiones-gerenciales.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 7; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 9",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
1,aportaciones cambios,baja,0.0657,0.0617,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 9,9,0.0598,tfidf=0.0498; bonus=0.0100,"Es saber poder manejar el rango de necesidades personales con las necesidades de supervivencia, con seguridad interactúan unas con otras, aunado a ser reconocido por los logros obtenidos, y tener oportunidades de mejorar las habilidades y conocimientos (Camacaro, 2006). En el mismo sentido, la gerencia debe habituarse a los nuevos cambios de la sociedad, por lo que es necesario introducir nuevas reglas con el propósito de fortalecer al personal. Estas deben crear una sinergia y una empatía como estrategia exitosa para promover adaptabilidad, autocontrol, confiabilidad, iniciativa y desarrollo personal; a su vez utilizando los desarrollos tecnológicos",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0009_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 7; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 9",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
1,aportaciones cambios,baja,0.0657,0.0617,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 11,11,0.0597,tfidf=0.0497; bonus=0.0100,"211-230 La importancia de la decisión gerencial para generar un clima organizacional óptimo en una empresa planas y la participación de todos los niveles de la organización en la toma de decisiones, requieren fomentar un gerente emprendedor, participativo y holístico. (Hernández, Silvestri, Añez, & Cobis, 2007, pág. 18) Importancia de las decisiones gerenciales Desde comienzos del siglo XXI el movimiento de las organizaciones ha ido en función de los cambios culturales que ha sufrido la sociedad. Las estrategias aplicadas van en dirección de las herramientas estratégicas que deben aplicarse constantemente.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0011_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 7; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 9",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
2,breve pasos,baja,0.054,0.0489,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 2,2,0.054,tfidf=0.0440; bonus=0.0100,"Cada día los directivos de cualquier nivel toman multitud de decisiones en las organizaciones. Por esto, definimos el concepto de decisión, realizamos una breve introducción sobre distintos enfoques sobre la toma de decisiones existentes en la literatura y reflexionamos sobre el grado de incertidumbre que influye en este proceso. Así mismo, explicamos el ciclo Información-Decisión-Acción.",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0002_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 2; solano-toma-decisiones-gerenciales.pdf, p. 7",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
2,breve pasos,baja,0.054,0.0489,solano-toma-decisiones-gerenciales.pdf,pdf,p. 7,7,0.0464,tfidf=0.0364; bonus=0.0100,"Obtener los recursos necesarios para lograr el resultado buscado. d. Analizar los tres pasos anteriores y tomar la decisión. Es esencial, en este cuarto punto, tener conciencia de que no siempre hacer algo es lo mejor.",solano_toma_decisiones_gerenciales_cfff4af2eb_b0007_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/solano-toma-decisiones-gerenciales.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 2; solano-toma-decisiones-gerenciales.pdf, p. 7",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
2,breve pasos,baja,0.054,0.0489,solano-toma-decisiones-gerenciales.pdf,pdf,p. 7,7,0.0463,tfidf=0.0363; bonus=0.0100,"La caja negra Por el contrario, conforme se sube en la escalera organizacional, aumenta la efectividad de la toma de decisiones en el nuevo nivel, ya que posee información actualizada; sin embargo, pierde efectividad en los niveles anteriores. Existen cuatro pasos básicos para la toma de decisiones, de acuerdo con el siguiente proceso: a.",solano_toma_decisiones_gerenciales_cfff4af2eb_b0007_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/solano-toma-decisiones-gerenciales.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 2; solano-toma-decisiones-gerenciales.pdf, p. 7",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
3,comunicación organizacional,media,0.2623,0.2557,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 15,15,0.2623,tfidf=0.1823; bonus=0.0800,"Fuente: (Restrepo, 1995) En definitiva, la comunicación organizacional debe realizarse de manera eficiente durante y después del acto de informar, es decir se debe realizar técnicas evaluativas sobre la calidad de comunicación dentro de las áreas que conforman la empresa: La comunicación organizacional, bien llevada a la práctica, es un proceso, un continuo, un esfuerzo permanente que debe estar en la empresa como parte de su hacer cotidiano.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0015_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 13; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 15; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 16","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
3,comunicación organizacional,media,0.2623,0.2557,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 13,13,0.2525,tfidf=0.1725; bonus=0.0800,"Debe estar inclinado a la acción decisiva, y asumir los riesgos inherentes a la toma de decisiones en importantes asuntos cuando pocas cosas son conocidas, pero considerando que no puede acertar en todas, por lo que se considera habilidad gerencial (Vaughn, 1980). Comunicación organizacional Las buenas decisiones otorgadas por las habilidades gerenciales de los jefes o supervisores pueden generar, en parte, un excelente clima organizacional y por ende fomentar una cultura en la organización. Pero nada se logra si las ideas de progreso y desarrollo no llegan a todos los integrantes.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0013_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 13; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 15; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 16","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
3,comunicación organizacional,media,0.2623,0.2557,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 16,16,0.2524,tfidf=0.1724; bonus=0.0800,"mandos, con lo cual influye directamente en el clima organizacional si y solo si existe una comunicación organizacional efectiva entre todos los niveles de la institución. 226 Vol.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0016_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 13; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 15; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 16","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
4,consulta utilizadas,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
