origen	destino
Asignaturas-1-5.pdf	00-curso-y-evaluacion/itesca-programas-asignaturas-basicas-mga.pdf
MGA.pptx	00-curso-y-evaluacion/mga-presentacion-original.pptx
Portada.docx	00-curso-y-evaluacion/plantilla-portada.docx
rubrica.pdf	00-curso-y-evaluacion/rubrica-general-evaluacion.pdf
La Organizacion UI.pdf	unidad-1-organizacion/proulx-diagnostico-cambio-organizacional-extracto-organizacion.pdf
Kast y Rosenzweig UI.pdf	unidad-1-organizacion/proulx-diagnostico-cambio-organizacional-extracto-kast-rosenzweig.pdf
Enfoques Multiples UI.pdf	unidad-1-organizacion/proulx-diagnostico-cambio-organizacional-extracto-enfoques-multiples.pdf
toma de decisiones.pdf	unidad-3-toma-de-decisiones/lopez-guaman-castro-2020-decisiones-eficacia-pymes-ambato.pdf
Toma_decisiones.pdf	unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf
Dialnet-TomaDeDecisionesGerenciales-4835719.pdf	unidad-3-toma-de-decisiones/solano-toma-decisiones-gerenciales.pdf
Dialnet-LaImportanciaDeLaDecisionGerencialParaGenerarUnCli-8638113.pdf	unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf
Guia-de-liderazgo-transformacional.pdf	unidad-4-liderazgo/guia-liderazgo-transformacional-empresa-2015.pdf
El Liderazgo Transformacional - Una revisión de literatura.pdf	unidad-4-liderazgo/mendoza-solis-y-colaboradores-2020-liderazgo-transformacional-revision.pdf
Formulación de un modelo de liderazgo desde las teorías organizacionales.pdf	unidad-4-liderazgo/garcia-solarte-2015-modelo-liderazgo-teorias-organizacionales.pdf
LIDERAZGO TRANSFORMACIONAL PARA LA FORMACIÓN.pdf	unidad-4-liderazgo/vanegas-gongora-2019-liderazgo-transformacional-formacion-equipos.pdf
liderazdo de los directores.pdf	unidad-4-liderazgo/delgadillo-santoyo-y-colaboradores-2023-liderazgo-directores-primaria-sonora.pdf
Dialnet-RevisionDelLiderazgoSusEstilosYModelosDeMedicionEn-7597829.pdf	unidad-4-liderazgo/jimenez-lopez-y-colaboradores-2020-liderazgo-estilos-modelos-medicion.pdf
El-Plan-de-Gestion-de-la-Diversidad_en-baja.pdf	unidad-5-diversidad/red-acoge-2011-plan-gestion-diversidad-empresa.pdf
manual-de-gestion-de-la-diversidad-e-inclusion-en-las-empresas-2021.pdf	unidad-5-diversidad/accion-empresas-2021-manual-diversidad-inclusion.pdf
Dialnet-LaGestionDeLaDiversidadEnLasOrganizacionesComoFact-8234747.pdf	unidad-5-diversidad/sanchez-leyva-y-colaboradores-2021-diversidad-innovacion.pdf
FINOCCHIARO-PONENCIA-EJE1.7.pdf	unidad-5-diversidad/finocchiaro-2021-diversidad-ventajas-competitivas.pdf
MATERIAL_DOCENTE_54.pdf	unidad-5-diversidad/peine-2019-manual-diseno-intervencion-organizacional.pdf
p_desarrollo.pdf	unidad-5-diversidad/guia-2012-plan-intervencion-desarrollo-organizacional-comunitario.pdf
Guía propuesta intervención.pdf	actividad-10-proyecto-intervencion/guia-propuesta-intervencion-diversidad.pdf
